t_s,x_gps,y_gps,z_gps,x_gt,y_gt,z_gt,ex,ey,ez_signed,e_h
1612483640.67196,-2.6049322857185158,1.6009843580588252,5.2847378225942485,0.5417685586236693,-0.060280020424085125,-0.036560981198448944,-3.146700844342185,1.6612643784829104,5.321298803792698,3.5583037446232764
1612483640.869426,-2.6049322036976736,1.5787499607457625,5.059737585597226,0.5492720485695071,-0.06103113478606814,-0.025862782170031903,-3.1542042522671805,1.6397810955318306,5.085600367767258,3.5549805212242633
1612483641.070483,-2.6125939251447754,1.5787499229066453,4.890737629844241,0.5437476821084257,-0.06052688642796493,-0.02537793416607395,-3.156341607253201,1.6392768093346102,4.916115564010315,3.5566445983960753
1612483641.2624447,-2.6432410403323416,1.5898670803686443,4.78973792710264,0.5486443506400283,-0.060315470179974545,-0.02920941947370548,-3.19188539097237,1.650182550548619,4.818947346576345,3.5932206722156637
1612483641.4704273,-2.6968735586289654,1.6565701361349192,4.8277389528657455,0.541140578823929,-0.06038191913813722,-0.033210471167763565,-3.238014137452894,1.7169520552730564,4.860949424033509,3.665059333005563
1612483641.672024,-2.712197133148054,1.6232186185798587,4.77773868530628,0.5462504429075373,-0.0568822252640971,-0.036598341943204785,-3.2584475760555915,1.6801008438439557,4.814337027249485,3.666090485979272
1612483641.8720903,-2.6892117079170066,1.5231640205902446,4.542737480516942,0.5492114892079926,-0.05633753041212034,-0.03736864697356495,-3.238423197124999,1.579501551002365,4.580106127490507,3.603083395273578
1612483642.0684228,-2.689211758079904,1.4564610141440977,4.591736764567944,0.5481540440170116,-0.06033289914494276,-0.03561341915812203,-3.2373658020969156,1.5167939132890405,4.627350183726066,3.5750805741937186
1612483642.2704363,-2.7121971810296257,1.4342267068339187,4.690736659390675,0.5485692561612399,-0.060973538146156095,-0.03231432510781301,-3.2607664371908656,1.4952002449800748,4.723050984498488,3.5872303425482572
1612483642.4714203,-2.7275207642373656,1.4231095420837776,4.684736628624798,0.5491960486499345,-0.06379295450503887,-0.0207084168655066,-3.2767168128873,1.4869024965888165,4.705445045490304,3.598298501544912
1612483642.670499,-2.742844357942007,1.43422672835162,4.7267368374533705,0.5503647297887797,-0.060499440028416805,-0.018937371437495243,-3.2932090877307867,1.4947261683800368,4.745674208890866,3.616549794203407
1612483642.8694265,-2.727520807998048,1.4342267373041244,4.798736749026485,0.5501551925311555,-0.06123210723955155,-0.018182275852059216,-3.277676000529204,1.495458844543676,4.816919024878544,3.602715242725828
1612483643.0684211,-2.735182665819589,1.423109603943309,4.944736673144854,0.5499391120081698,-0.06065706485336924,-0.020617894608729575,-3.285121777827759,1.4837666687966784,4.965354567753584,3.6046620677381402
1612483643.269429,-2.773491665433522,1.4119924712279464,5.0387367770155445,0.5492823579499199,-0.065895959340359,-0.016270703904018104,-3.3227740233834417,1.4778884305683053,5.055007480919563,3.636616755128238
1612483643.4694247,-2.7811534722658093,1.367523790127959,5.028736343583054,0.5503086792007685,-0.06039844231480743,-0.016902775179999236,-3.331462151466578,1.4279222324427665,5.045639118763053,3.6245830061620405
1612483643.674533,-2.781153475234567,1.3675237910238904,5.035736343719807,0.5506570991306065,-0.06046867487207068,-0.016329289334825678,-3.3318105743651736,1.427992465895961,5.0520656330546325,3.6249309215635015
1612483643.862648,-2.7734916584588385,1.3897581225624625,4.999736537377322,0.5497878807348369,-0.060391420689385474,-0.027764447308685516,-3.3232795391936754,1.4501495432518479,5.027500984686007,3.6258958332275446
1612483644.0674267,-2.7581680345402053,1.4119924386455247,4.924736688350336,0.549656824099307,-0.06051730400801438,-0.026727932945578143,-3.3078248586395125,1.4725097426535392,4.951464621295914,3.6207720499422638
1612483644.2704306,-2.7811534508224214,1.4453439936439567,5.061737179546832,0.549050610963116,-0.060347923586931494,-0.030698901130054343,-3.3302040617855373,1.5056919172308882,5.092436080676887,3.6547732135862163
1612483644.4704485,-2.834786035908084,1.456461216193055,5.18473760952148,0.5507066969867577,-0.060530140569516076,-0.018006063540356724,-3.3854927328948414,1.516991356762571,5.202743673061836,3.709828004230941
1612483644.6704729,-2.8577713700363168,1.4342268601810917,5.07473750288874,0.5502460213442408,-0.06620325645285623,-0.015233639021218756,-3.4080173913805574,1.500430116633948,5.089971141909959,3.7236907866865776
1612483644.8695576,-2.8884185598000838,1.5009299289783158,5.203738395829346,0.5497858154626167,-0.060695364446247846,-0.019633667082802567,-3.4382043752627007,1.5616252934245636,5.223372062912149,3.7762313068903675
1612483645.068459,-2.911403992584875,1.5231643188768187,5.3587387684169725,0.5488045674902885,-0.06029693623654182,-0.025090670316391988,-3.4602085600751638,1.5834612551133604,5.383829438733365,3.805311133884142
1612483645.2704487,-2.9573747357717415,1.5120471660700865,5.3397389140340845,0.5507005679285801,-0.06049240939942734,-0.016660516139376903,-3.5080753037003216,1.5725395754695137,5.356399430173461,3.84440802372094
